Record_ID,Country,Region,State,State_Code,City,Latitude,Longitude,Year,Full_Date,Month_Number,Month_Name,Quarter,Fiscal_Year,Population,Population_Category,Urban_Population,Rural_Population,Urban_Percentage,Rural_Percentage,Density_per_km2,Density_Category,Growth_Rate,Growth_Category,Literacy_Rate,Birth_Rate,Death_Rate,Net_Rate_Change
REC000001,India,North,Delhi,DL,Delhi,28.7041,77.1025,2006,14-07-2006,7,July,Q3,FY2006-07,10199436,Large (10-15M),2442377,59917,97.61,2.39,886,Medium Density,1.14,Moderate Growth,67.02,22.4,12.19,10.21
REC000002,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2019,05-04-2019,4,April,Q2,FY2019-20,9609015,Medium (5-10M),5116981,2468514,67.46,32.54,792,Medium Density,1.31,Moderate Growth,64.9,28.32,14.44,13.88
REC000003,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2014,09-11-2014,11,November,Q4,FY2014-15,818976,Small (<5M),7086464,9500567,42.72,57.28,418,Medium Density,1.69,Moderate Growth,75.35,24.17,13.07,11.1
REC000004,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2010,08-08-2010,8,August,Q3,FY2010-11,15664708,Very Large (>15M),3221268,9648528,25.03,74.97,1193,High Density,2.72,High Growth,77.38,18.41,7.29,11.12
REC000005,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2007,02-05-2007,5,May,Q2,FY2007-08,4681004,Small (<5M),9463918,2661307,78.05,21.95,387,Low Density,0.62,Low Growth,88.66,27.34,12.01,15.33
REC000006,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2020,28-07-2020,7,July,Q3,FY2020-21,1293517,Small (<5M),2465122,6735871,26.79,73.21,86,Low Density,2.94,High Growth,86.68,10.85,10.6,0.25
REC000007,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2006,16-10-2006,10,October,Q4,FY2006-07,6195779,Medium (5-10M),6129487,8018083,43.33,56.67,137,Low Density,2.77,High Growth,71.49,10.2,7.77,2.43
REC000008,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2018,13-03-2018,3,March,Q1,FY2017-18,9071507,Medium (5-10M),8461193,3540458,70.5,29.5,209,Low Density,2,Moderate Growth,73.47,15.01,13.66,1.35
REC000009,India,North,Delhi,DL,Delhi,28.7041,77.1025,2022,07-07-2022,7,July,Q3,FY2022-23,4042852,Small (<5M),816931,1859160,30.53,69.47,722,Medium Density,1.7,Moderate Growth,80.18,12.55,12.8,-0.25
REC000010,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2010,16-11-2010,11,November,Q4,FY2010-11,15532856,Very Large (>15M),4163634,4284366,49.29,50.71,121,Low Density,0.84,Low Growth,79.31,15.4,6.28,9.12
REC000011,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2010,07-11-2010,11,November,Q4,FY2010-11,8356946,Medium (5-10M),3813456,9406750,28.85,71.15,222,Low Density,1.37,Moderate Growth,90.17,16.11,10.7,5.41
REC000012,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2023,27-08-2023,8,August,Q3,FY2023-24,11293499,Large (10-15M),8477801,5349057,61.31,38.69,704,Medium Density,0.83,Low Growth,76.54,19.11,12.68,6.43
REC000013,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2020,14-05-2020,5,May,Q2,FY2020-21,19964574,Very Large (>15M),461557,6059648,7.08,92.92,728,Medium Density,2.96,High Growth,91.27,22.21,6.61,15.6
REC000014,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2003,14-04-2003,4,April,Q2,FY2003-04,14995225,Large (10-15M),8887892,2453162,78.37,21.63,1105,High Density,,,67.18,17.05,14.92,2.13
REC000015,India,North,Delhi,DL,Delhi,28.7041,77.1025,2007,12-08-2007,8,August,Q3,FY2007-08,4592709,Small (<5M),5113565,5226156,49.46,50.54,796,Medium Density,,,90.37,29.34,11.05,18.29
REC000016,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2023,01-08-2023,8,August,Q3,FY2023-24,14453194,Large (10-15M),361632,7089893,4.85,95.15,409,Medium Density,,,70.65,20.83,13.62,7.21
REC000017,India,West,Maharashtra,MH,Mumbai,19.076,72.8777,2002,01-03-2002,3,March,Q1,FY2001-02,1812204,Small (<5M),8045578,8967108,47.29,52.71,1471,High Density,2.07,Moderate Growth,87.62,27.52,10.46,17.06
REC000018,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2021,12-06-2021,6,June,Q2,FY2021-22,10498244,Large (10-15M),9434799,6584204,58.9,41.1,1087,High Density,2.76,High Growth,79.79,26.05,8.09,17.96
REC000019,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2020,20-05-2020,5,May,Q2,FY2020-21,3430795,Small (<5M),6121751,1555441,79.74,20.26,1380,High Density,2.8,High Growth,90.64,10.96,13.35,-2.39
REC000020,India,North,Delhi,DL,Delhi,28.7041,77.1025,2001,21-02-2001,2,February,Q1,FY2000-01,8126693,Medium (5-10M),5104339,3142444,61.89,38.11,411,Medium Density,1.14,Moderate Growth,68.09,19.43,9.47,9.96
REC000021,India,North,Delhi,DL,Delhi,28.7041,77.1025,2023,15-08-2023,8,August,Q3,FY2023-24,4581536,Small (<5M),2954278,5875303,33.46,66.54,67,Low Density,3.49,High Growth,84.55,26.13,10.83,15.3
REC000022,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2011,04-12-2011,12,December,Q4,FY2011-12,5473666,Medium (5-10M),768322,4403022,14.86,85.14,773,Medium Density,2.21,Moderate Growth,89.71,28.13,10.76,17.37
REC000023,India,North,Delhi,DL,Delhi,28.7041,77.1025,2005,07-06-2005,6,June,Q2,FY2005-06,13975553,Large (10-15M),2347245,2377628,49.68,50.32,1097,High Density,1.5,Moderate Growth,87.18,22.66,5.59,17.07
REC000024,India,North,Delhi,DL,Delhi,28.7041,77.1025,2001,16-02-2001,2,February,Q1,FY2000-01,7196423,Medium (5-10M),4332131,9006016,32.48,67.52,833,Medium Density,1.68,Moderate Growth,79.81,28.64,8.39,20.25
